name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Tempest freighter,unsf_tempest,Medium freighter,UNSF Tech,maneuveringjets,8,2500,350,4000,2250,450,150,,50,25,25,16,16,1000,OMNI,,120,0.2,1,,,15,20,250,250,1,40,6,50000,3,6,180,,20,20,,,,,,,"CIVILIAN, FREIGHTER, TANKER, SHIP_WITH_MODULES",unsf_bp_hull,,1,2,4,,401
Dauntless crew tender,unsf_dauntless,Crew tender,UNSF Tech,maneuveringjets,10,4000,400,4000,2250,450,150,,60,30,30,16,16,1700,OMNI,,120,0.2,1,,,15,750,150,150,1,40,6,75000,3,6,180,,20,20,,,,,,,"CIVILIAN, LINER,",unsf_bp_hull,,1,2,4,,401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Valkyrie - invasion vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Phalanx - dedicated anti-destroyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CRUISERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedalus cruiser,unsf_daedalus,Cruiser,UNSF Tech,Asgard_transport_nuke,23,10000,900,10000,5000,400,370,3,50,25,25,15,15,2000,OMNI,,120,0.2,1,,,120,140,200,300,3,50,6,200000,3,12,180,0.25,20,20,,,,,,,"CARRIER, COMBAT,",unsf_bp_hull,,1,4,8,,103
Daedalus carrier refit,unsf_daedalus_refit,Battlecarrier,UNSF Tech,recalldevice2,24,9000,955,8000,4167,300,370,6,45,25,25,14,14,2200,OMNI,,120,0.2,1,,,250,270,200,300,3,50,6,250000,3,12,180,0.25,20,20,,,,,,,"COMBAT, CARRIER,",unsf_bp_hull,,1,4,8,,200
Helios heavy cruiser,unsf_helios,Heavy cruiser,UNSF Tech,burndrive,26,12000,1100,12850,11000,600,450,,40,20,20,12,12,2500,OMNI,,120,0.2,1,,,95,110,1200,1200,5,50,6,300000,3,12,180,0.25,20,20,,,,,,,"COMBAT,",unsf_bp_hull,,1,4,8,,402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Perseus - something something drones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Icarus - high tech helios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Phonenix - high tech daedalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FREIGHTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperion freighter,unsf_hyperion,Heavy freighter,UNSF Tech,flarelauncher,12,9500,350,4000,5000,200,100,2,35,17,17,7,7,3000,OMNI,,90,0.2,1,,,50,60,2500,400,6,70,6,150000,3,20,180,0.25,15,15,,,,,,,"CIVILIAN, FREIGHTER",unsf_bp_hull,,1,4,8,,502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BATTLE CRUISERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astraios,unsf_astraios,Battlecruiser,UNSF Tech,Asgard_transport_sat,28,16500,1500,15300,15000,700,400,,45,20,20,6,6,3500,OMNI,,120,0.2,1,,,450,650,4500,4500,5,70,6,650000,3,6,180,0.25,40,40,,,,,,,"COMBAT,",unsf_bp_hull,,1,6,10,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Aquila - flight deck carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Titan - tank among ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#STELLITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offensive satellite,unsf_sat,Frigate,UNSF Tech,,0,500,50,8000,4167,300,420,,15,15,15,25,25,100,NONE,,0,0.1,1,,,0,0,0,0,1,0,,42069,0,0,180,0,0,0,,,,,,,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX,",,,1,2,2,,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SUPER-CAPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zenith,unsf_zenith,Capital Ship,UNSF Tech,ammofeed,200,40000,4000,30000,15000,500,450,,45,25,25,8,8,5000,OMNI,,100,0.1,1,,,1200,1500,1000,1500,15,100,6,8000000,7,15,1080,0.45,100,100,,,,,,,"COMBAT, SHIP_WITH_MODULES, RENDER_ENGINES_BELOW_HULL",,,1,6,10,,505
Armor Module AFL,unsf_zenith_AFL,Front armor L,UNSF Tech,,0,8000,800,1500,5000,200,100,,0,0,0,0,0,1500,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT,",module_hull_bar_only,,1,2,4,,506
Armor Module AFR,unsf_zenith_AFR,Front armor R,UNSF Tech,,0,8000,800,1500,5000,200,100,,0,0,0,0,0,1500,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT,",module_hull_bar_only,,1,2,4,,506
Armor Module ABL,unsf_zenith_ABL,Back armor L,UNSF Tech,,0,8000,800,1500,5000,200,100,,0,0,0,0,0,1500,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT,",module_hull_bar_only,,1,2,4,,506
Armor Module ABR,unsf_zenith_ABR,Back armor R,UNSF Tech,,0,8000,800,1500,5000,200,100,,0,0,0,0,0,1500,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT,",module_hull_bar_only,,1,2,4,,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engine Module L,unsf_zenith_engine_L,Engine L,UNSF Tech,,0,12000,400,6000,15000,600,100,,0,0,0,10,10,1700,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT,",module_hull_bar_only,,1,2,4,,506
Engine Module R,unsf_zenith_engine_R,Engine R,UNSF Tech,,0,12000,400,6000,15000,600,100,,0,0,0,10,10,1700,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT,",module_hull_bar_only,,1,2,4,,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield generator,unsf_shield_generator,Shield generator,UNSF Tech,,0,5000,200,15000,28000,1000,100,,0,0,0,0,0,30,FRONT,,60,0.01,0.8,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX,",module_hull_bar_only,,1,2,4,,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#WINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-302,unsf_302,,UNSF Tech,ammofeed,,400,50,800,,120,0,,250,400,200,250,300,100,NONE,,120,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,unsf_bp_wing,,,,,,309
B-302,unsf_b302,,UNSF Tech,damper,,500,80,1000,,60,0,,150,200,100,100,150,200,NONE,,120,0,1,,,2,4,,,,,,,,,,,,,,,,,,,,unsf_bp_wing,,,,,,310
D-302,unsf_defense_drone,,UNSF Tech,flarelauncher_fighter,,600,100,800,,100,0,,200,250,200,250,300,150,NONE,,120,0,1,,,,,,,,,,,,,,,,,,,,,,,,unsf_bp_wing,,,,,,311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#puddle jumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#F-312/322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#B-312/322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#D-312/322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#MODULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,module_fuel_unsf,Fuel Module,UNSF Tech,,1,1500,100,0,2500,100,0,,0,0,0,0,0,300,NONE,,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT, ","module_unselectable, module_refit_bright, module_no_status_bar,",,1,2,3,,2051
,module_cargo_unsf,Cargo Module,UNSF Tech,,1,1500,100,0,2500,100,0,,0,0,0,0,0,300,NONE,,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT, ","module_unselectable, module_refit_bright, module_no_status_bar,",,1,2,3,,2051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Xyphos,xyphos,,High Tech,,,450,50,600,,50,0,,160,300,250,90,180,30,OMNI,,160,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
#Wolf,wolf,Frigate,High Tech,displacer,5,1500,150,2250,1875,150,55,,150,130,100,60,120,200,FRONT,,150,0.4,0.7,,,15,30,50,20,1,20,10,12000,10,20,180,0.25,5,5,,,,,,,,"hightech_bp, merc, ind",,0.5,2,2,,200
#Legion,legion,Battlecarrier,Low Tech,burndrive,28,18000,1650,12000,12500,500,300,4,30,15,15,6,6,3500,FRONT,,180,0.4,1,,,700,1500,300,300,15,20,7,375000,3,12,720,0.25,40,40,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","rare_bp, merc",,0.4,2,4,,507
#Eagle,eagle,Cruiser,Midline,maneuveringjets,14,8000,1000,11000,14000,700,155,,60,40,30,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,100000,3,12,480,0.25,20,20,,,,,,,,"rare_bp, merc, ind",,0.5,2,3,,401
#Champion,champion,Heavy Cruiser,Midline,highenergyfocus,15,10000,1250,10000,11000,550,165,,60,40,30,15,20,1500,FRONT,,210,0.4,0.8,,,200,300,150,150,4,38,8,125000,4,12,480,0.25,25,25,,,,,,,,"rare_bp, merc, ind",,0.5,2,4,,401.5
